Title,Price,Brand,Model,chipset,Form factor,Socket type,Memory slots,max_memory_support,Link
ASRock MB TRX40 Creator AMD Ryzen Threadripper sTRX4 TRX40 Max256GB DR4 ATX,"1,549 (Used)",ASRock,TRX40 CREATOR,AMD X570,ATX,sTRX4,,,https://amazon.com/dp/B081JX35ZK?tag=pcbuilder00-20
"ASUS ROG Zenith II Extreme Alpha TRX40 Gaming AMD 3rd Gen Ryzen Threadripper sTRX4 EATX Motherboard with 16 Infineon Power Stages, PCIe 4.0, Wi-Fi 6 (802.11ax), USB 3.2 Gen 2x2 and Aura Sync RGB",962.99,ASUS,ROG ZENITH II EXTREME ALPHA,AMD TRX40,Extended ATX,sTRX4,,,https://amazon.com/dp/B083ZC9L91?tag=pcbuilder00-20
"Asus ROG Strix TRX40-E Gaming AMD 3rd Gen AMD Ryzen Threadripper sTR4 ATX Motherboard with 16 Power Stages, Onboard WiFi 6 802.11Ax, 2.5Gbps, USB 3.2 Gen2, 3X M.2, OLED and Aura Sync RGB Lighting",966.60 (Used),ASUS,ROG STRIX TRX40-E GAMING,AMD TRX40,ATX,sTRX4,,,https://amazon.com/dp/B08165D9R7?tag=pcbuilder00-20
GIGABYTE TRX40 AORUS Master (sTRX AMD TRX40/Fins-Array Heatsink/16+3 Phases Infineon Digital VRM/3x PCIe 4.0x4 M.2/Intel WiFi 6/5GbE+1GbE LAN/E-ATX/AMD Motherboard),874.70 (Used),Gigabyte,TRX40 AORUS MASTER,AMD TRX40,Extended ATX,sTRX4,,,https://amazon.com/dp/B081JDLX48?tag=pcbuilder00-20
"Asus Prime TRX40-PRO AMD 3rd Gen Ryzen Threadripper Strx4 ATX Motherboard with DDR4, M.2, USB 3.2 Gen2, Type-C Front Panel Connector and Aura Sync RGB Lighting",/A,ASUS,PRIME TRX40-PRO,AMD TRX40,ATX,sTRX4,,,https://amazon.com/dp/B08166G8DS?tag=pcbuilder00-20
GIGABYTE TRX40 AORUS Xtreme (sTRX/AMD/TRX40/Fins-Array Heatsink/16+3 Phases Infineon Digital VRM/Gen 4 AIC with 4 X M.2 NVMe/Intel WiFi 6/Intel Dual 10GbE LAN/XL-ATX/Motherboard),"1,599.99",Gigabyte,TRX40 AORUS XTREME,AMD TRX40,Extended ATX,sTRX4,,,https://amazon.com/dp/B081JDP378?tag=pcbuilder00-20
"MSI Creator TRX40 Motherboard (AMD sTRX4, PCIe Gen4, M.2, USB3.2 Gen2x2, DDR4, 10G LAN, Wi-Fi 6, eATX)","1,098 (Used)",MSI,Creator TRX40,AMD TRX40,Extended ATX,sTRX4,,,https://amazon.com/dp/B081FXBWTD?tag=pcbuilder00-20
"ASUS ROG Zenith II Extreme TRX40 Gaming AMD 3rd Gen Ryzen Threadripper sTRX4 EATX Motherboard with 16 Power Stages, PCIe 4.0, WiFi 6 (802.11ax), USB 3.2 Gen2 and Aura Sync RGB",/A,ASUS,ROG Zenith II Extreme,AMD TRX40,Extended ATX,sTRX4,,,https://amazon.com/dp/B081663NLF?tag=pcbuilder00-20
"MSI TRX40 PRO 10G Motherboard (AMD sTRX4, PCIe Gen4, M.2, USB3.2 Gen2x2, DDR4, Dual 10G LAN, ATX)","1,189 (Used)",MSI,TRX40 PRO,AMD TRX40,ATX,sTRX4,,,https://amazon.com/dp/B081FX4546?tag=pcbuilder00-20
GIGABYTE TRX40 AORUS PRO WiFi (sTRX/AMD/TRX40/Fins-Array Heatsink/12+2 Phases Infineon Digital VRM/3x PCIe 4.0x4 M.2/Intel WiFi 6/Intel GbE LAN/ATX/Motherboard),/A,Gigabyte,TRX40 Aorus Pro WiFi,AMD TRX40,ATX,sTRX4,,,https://amazon.com/dp/B081JCCGQR?tag=pcbuilder00-20
"GIGABYTE TRX40 DESIGNARE Extended ATX Motherboard for AMD Ryzen Threadripper Processor with Direct 16+3 Phase VRM, Fins-Array Heatsink, Gen 4 AIC and with 4 Extra M.2 Slots","1,449.99",Gigabyte,TRX40 DESIGNARE,AMD TRX40,Extended ATX,sTRX4,,,https://amazon.com/dp/B081YW31GR?tag=pcbuilder00-20
"MSI TRX40 PRO WiFi Motherboard (AMD sTRX4, PCIe Gen4, M.2, USB3.2 Gen2x2, DDR4, Dual 10G LAN, Wi-Fi 6, ATX)",669.60 (Used),MSI,TRX40P,AMD TRX40,ATX,sTRX4,,,https://amazon.com/dp/B081FX6KC1?tag=pcbuilder00-20
ASRock MB TRX40 Taichi AMD Ryzen Threadripper sTRX4 TRX40 Max256GB DDR4 ATX,/A,ASRock,TRX40 TAICHI,AMD TRX40,ATX,sTRX4,,,https://amazon.com/dp/B081JX2LKK?tag=pcbuilder00-20
GIGABYTE X570S AORUS PRO AX (AMD Ryzen 3000/ X570S/ PCIe 4.0/ SATA 6Gb/s/USB 3.1/ ATX/Gaming Motherboard),354.34,Gigabyte,X570S AORUS PRO AX,AMD X570,ATX,AM4,,,https://amazon.com/dp/B083HZHPW6?tag=pcbuilder00-20
"Asus AM4 TUF Gaming X570-Plus (Wi-Fi) ATX Motherboard with PCIe 4.0, Dual M.2, HDMI, USB 3.2 Gen2 and Aura Sync RGB lighting",179.99,ASUS,TUF GAMING X570-PLUS (WI-FI),AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SXF8GY3?tag=pcbuilder00-20
GIGABYTE X570S AORUS Elite AX (AMD Ryzen 3000/ X570S/ PCIe 4.0/ SATA 6Gb/s/USB 3.1/ ATX/Gaming Motherboard),189.99,Gigabyte,X570S AORUS ELITE AX,AMD X570,ATX,AM4,,,https://amazon.com/dp/B083HZ3Y7L?tag=pcbuilder00-20
GIGABYTE X570SI AORUS PRO AX(AMD Ryzen 3000/ X570S/ PCIe 4.0 SATA/ 6Gb/s/USB 3.1/ Mini-ITX/Gaming Motherboard),199.99,Gigabyte,X570SI AORUS PRO AX,AMD X570,Mini ITX,AM4,,,https://amazon.com/dp/B083M3P6TR?tag=pcbuilder00-20
GIGABYTE X570S AORUS Master (AMD/ X570S/ Ryzen 5000/ ATX/PCIe 4.0/ SATA 20Gb/s/USB 3.2/ Motherboard),229.99,Gigabyte,X570S AORUS MASTER,AMD X570,ATX,AM4,,,https://amazon.com/dp/B083HZ796V?tag=pcbuilder00-20
"Gigabyte X570 AORUS Elite ATX Motherboard for AMD Ryzen Processor having PCIe 4.0, DDR4, USB3.1, Realtek ALC1200, RGB Fusion 2.0, M.2 Thermal Guard",264.45,Gigabyte,X570 AORUS ELITE,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SVRZGMX?tag=pcbuilder00-20
"GIGABYTE X570 AORUS Elite Wi-Fi ATX Motherboard for AMD Ryzen Processor having PCIe 4.0, DDR4, Intel Dual Band 802.11AC Wi-Fi, RGB Fusion 2.0, and M.2 Thermal Guard",169.99,Gigabyte,X570 AORUS ELITE WIFI,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07WL5MFXL?tag=pcbuilder00-20
GIGABYTE X570 I AORUS Pro Wi-Fi (AMD Ryzen 3000/X570/Mini-Itx/PCIe4.0/DDR4/USB 3.1/Realtek ALC1220-Vb/DisplayPort 1.4/2xHDMI 2.0B/RGB Fusion 2.0/Gaming Motherboard),268.90,Gigabyte,X570 I AORUS PRO WIFI,AMD X570,Mini ITX,AM4,,,https://amazon.com/dp/B07T9PC9ZZ?tag=pcbuilder00-20
"Asus Prime X570-Pro Ryzen 3 AM4 with PCIe Gen4, Dual M.2 HDMI, SATA 6GB/s USB 3.2 Gen 2 ATX Motherboard",199.99,ASUS,PRIME X570-PRO,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SW925DQ?tag=pcbuilder00-20
"ASUS ROG Strix X570-E Gaming WiFi II AMD AM4 X570S ATX Gaming Motherboard (PCIe 4.0, Passive PCH Heatsink, 12+4 Power Stages, WiFi 6E, 2.5 Gb LAN,USB 3.2 Gen 2 Type C and Aura Sync RGB",327,ASUS,ROG STRIX X570-E GAMING WIFI II,AMD X570,ATX,AM4,,,https://amazon.com/dp/B09GP7V2W5?tag=pcbuilder00-20
"MSI MPG X570 GAMING PLUS Motherboard (AMD AM4, PCIe 4.0, DDR4, SATA 6Gb/s, M.2, USB 3.2 Gen 2, HDMI, ATX)",157.99,MSI,X570 GAMING PLUS,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07T5QDRFX?tag=pcbuilder00-20
"MSI MPG X570S Edge MAX WiFi Gaming Motherboard (ATX, AMD, CFX, M.2 Slots, Wi-Fi 6E)",228.35,MSI,911-7D53-004,AMD X570,ATX,AM4,,,https://amazon.com/dp/B09BYXFHLR?tag=pcbuilder00-20
"MSI MPG X570 GAMING EDGE WIFI Motherboard (AMD AM4, DDR4, PCIe 4.0, SATA 6Gb/s, M.2, USB 3.2 Gen 2, AC Wi-Fi 5, HDMI, ATX)",264.99,MSI,X570GAMING EDGE WIFI,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07T2FWCYG?tag=pcbuilder00-20
"ASUS AM4 TUF Gaming X570-Plus ATX Motherboard with PCIe 4.0, Dual M.2, 12+2 with Dr. MOS Power Stage, HDMI, DP, SATA 6Gb/s, USB 3.2 Gen 2 and Aura Sync RGB Lighting",227.94,ASUS,TUF GAMING X570-PLUS,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SXFK1TP?tag=pcbuilder00-20
"ASUS TUF Gaming X570-PRO WiFi II AMD AM4 ATX Gaming Motherboard (Two-Way AI Noise Cancelation, Addressable Gen2RGB Header, Aura Sync)",350.64,ASUS,TUF GAMING X570-PRO WIFI II,AMD X570,ATX,AM4,,,https://amazon.com/dp/B09HDR1D7Z?tag=pcbuilder00-20
"ASUS TUF Gaming X570-PRO (WiFi 6) AM4 Zen 3 Ryzen 5000 & 3rd Gen Ryzen ATX Motherboard PCIe 4.0, 2.5Gb LAN, BIOS Flashback, HDMI 2.1, USB 3.2 Gen 2",219.99,ASUS,TUF GAMING X570-PRO (WI-FI),AMD X570,ATX,AM4,,,https://amazon.com/dp/B08JWMPVD9?tag=pcbuilder00-20
"MSI MPG X570S Carbon MAX WiFi Gaming Motherboard (ATX, AMD, Socket AM4. DDR4, PCIe 4, CFX, M.2 Slots, Wi-Fi 6E)",269.99,MSI,911-7D52-001,AMD X570,ATX,AM4,,,https://amazon.com/dp/B09BYXTKC6?tag=pcbuilder00-20
"Asus Prime X570-P Ryzen 3 AM4 with PCIe Gen4, Dual M.2 HDMI, SATA 6GB/s USB 3.2 Gen 2 ATX Motherboard",149.99,ASUS,PRIME X570-P,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SW925DR?tag=pcbuilder00-20
"Asus ROG Strix X570-F Gaming ATX Motherboard with PCIe 4.0, Aura Sync RGB Lighting, Intel Gigabit Ethernet, Dual M.2 with Heatsinks, SATA 6GB/S and USB 3.2 Gen 2",276.85,ASUS,ROG STRIX X570-F GAMING,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SXDR2LJ?tag=pcbuilder00-20
"MSI MPG X570 GAMING PRO CARBON WIFI Motherboard (AMD AM4, DDR4, PCIe 4.0, SATA 6Gb/s, M.2, USB 3.2 Gen 2, AX Wi-Fi 6, HDMI, ATX)",338.99,MSI,X570 Pro WIFI,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07T4M3RTR?tag=pcbuilder00-20
"Asus ROG X570 Crosshair VIII Hero (Wi-Fi) ATX Motherboard with PCIe 4.0, on-Board WiFi 6 (802.11Ax), 2.5 Gbps LAN, USB 3.2, SATA, M.2, Node and Aura Sync RGB Lighting",380.75,ASUS,ROG CROSSHAIR VIII HERO (WI-FI),AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SZXBTNW?tag=pcbuilder00-20
"GIGABYTE X570 AORUS Master ATX Motherboard for AMD Ryzen Processor with PCIe 4.0, DDR4, USB3.1, RGB Fusion 2.0 and Thermal Guard",718.97,Gigabyte,X570 AORUS MASTER,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SSM6CLC?tag=pcbuilder00-20
"MSI MAG X570S Tomahawk WiFi Motherboard (AMD AM4, DDR4, PCIe 4.0, SATA 6Gb/s, M.2, USB 3.2 Gen 2, AC Wi-Fi 6, HDMI, ATX)",229.99,MSI,X570S TOMAHAWK MAX WIFI,AMD X570,ATX,AM4,,,https://amazon.com/dp/B09BGWJD3C?tag=pcbuilder00-20
"MSI MAG X570 Tomahawk WiFi Motherboard (AMD AM4, DDR4, PCIe 4.0, SATA 6Gb/s, M.2, USB 3.2 Gen 2, AC Wi-Fi 6, HDMI, ATX)",235.74 (Used),MSI,MAG X570 Tomahawk WiFi,AMD X570,ATX,AM4,,,https://amazon.com/dp/B0892R8PDJ?tag=pcbuilder00-20
"ASUS ROG Crosshair VIII Hero X570 ATX Motherboard with PCIe 4.0, Integrated 2.5 Gbps LAN,  USB 3.2, SATA, M.2, Node and Aura Sync RGB Lighting",364.99,ASUS,ROG CROSSHAIR VIII HERO,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07SYW3RT2?tag=pcbuilder00-20
"GIGABYTE X570 AORUS PRO Wi-Fi ATX Motherboard for AMD Ryzen Processor with PCIe 4.0, DDR4, USB3.1, Realtek ALC1220-VB, RGB Fusion 2.0, and Thermal Guard",429.99,Gigabyte,X570 AORUS PRO WIFI,AMD X570,ATX,AM4,,,https://amazon.com/dp/B07STNZF9L?tag=pcbuilder00-20
"ASUS ROG Strix X570-I Gaming, X570 mini-ITX Gaming motherboard, AMD, AM4, Ryzen 3000 with PCIe 4.0, on-board WiFi 6 (802.11ax), Intel Gigabit Ethernet, SATA 6Gb/s, USB 3.2 Gen 2, HDMI 2.0, DisplayPort",259,ASUS,ROG Strix X570-I Gaming,AMD X570,Mini ITX,AM4,,,https://amazon.com/dp/B07Y2PZTQ5?tag=pcbuilder00-20
