Title,Price,Brand,Model,Power,Efficiency,Link
Thermaltake Toughpower PF1 850W 80+ Platinum Single Side SMD Compact Design Ultra Quiet 120mm Hydraulic Bearing Smart Zero Fan Full Modular Power Supply,149.99,Thermaltake,Toughpower PF1,850 W,80+ Platinum,https://amazon.com/dp/B08BR8RQ3Y?tag=pcbuilder00-20
Thermaltake Toughpower PF1 750W 80+ Platinum Single Side SMD Compact Design Ultra Quiet 120mm Hydraulic Bearing Smart Zero Fan,122.31,Thermaltake,Toughpower PF1,750 W,80+ Platinum,https://amazon.com/dp/B08BQV9CMM?tag=pcbuilder00-20
"Thermaltake Smart 700W 80+ White Certified PSU, Continuous Power with 120mm Ultra Quiet Fan, ATX 12V V2.3/EPS 12V Active PFC Power Supply",54.99,Thermaltake,SPD-0700NP,700 W,80+,https://amazon.com/dp/B014W3EAX8?tag=pcbuilder00-20
Thermaltake Toughpower PF1 650W 80+ Platinum Single Side SMD Compact Design Ultra Quiet 120mm Hydraulic Bearing Smart Zero Fan Full Modular Power Supply,101.99,Thermaltake,Toughpower PF1,650 W,80+ Platinum,https://amazon.com/dp/B08BR79VBX?tag=pcbuilder00-20
"Thermaltake Toughpower GX1, 80+ Gold Certified 600W Non Modular Power Supply with SLI/CrossFire Ready",69.99,Thermaltake,Toughpower GX1,600 W,80+ Gold,https://amazon.com/dp/B07F9YFYLZ?tag=pcbuilder00-20
Thermaltake SMART 600W ATX 12V V2.3/EPS 12V 80 Plus Certified Active PFC Power Supply,42.99,Thermaltake,SMART 600,600 W,80+,https://amazon.com/dp/B014W3EMAO?tag=pcbuilder00-20
Thermaltake Toughpower GX1 500W 80+ Gold SLI/CrossFire Ready Continuous Power Supply,59.99,Thermaltake,Toughpower GX1,500 W,80+ Gold,https://amazon.com/dp/B07LGMXWP3?tag=pcbuilder00-20
"Thermaltake Smart 500W 80+ White Certified PSU, Continuous Power with 120mm Ultra Quiet Cooling Fan, ATX 12V V2.3/EPS 12V Active PFC Power Supply",39.99,Thermaltake,PS-SPD-0500NPCWUS-W,500 W,80+,https://amazon.com/dp/B014W3EM2W?tag=pcbuilder00-20
Thermaltake Smart 430W 80+ Black Continuous Power ATX 12V V2.3/EPS 12V Active PFC Power Supply,27.99,Thermaltake,PS-SPD-0430NPCWUS-W,430 W,80+,https://amazon.com/dp/B07BFJ91TY?tag=pcbuilder00-20
"EVGA SuperNOVA 850 G6, 80 Plus Gold 850W, Fully Modular, Eco Mode with FDB Fan, 10 Year Warranty, Includes Power ON Self Tester, Compact 140mm Size, Power Supply 220-G6-0850-X1",176.99,EVGA,220-G6-0850-X1,850 W,80+ Gold,https://amazon.com/dp/B099821FWG?tag=pcbuilder00-20
"EVGA SuperNOVA 650 GT, 80 Plus Gold 650W, Fully Modular, Auto Eco Mode with FDB Fan, 7 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, Power Supply 220-GT-0650-Y1",89.75,EVGA,220-GT-0650-Y1,650 W,80+ Gold,https://amazon.com/dp/B088SSX883?tag=pcbuilder00-20
