Title,Price,Brand,Model,Ram size,Quantity,Ram type,Ram speed,DIMM_type,CAS latency,Link
TEAMGROUP T-Force Delta RGB DDR5 Ram 48GB (2x24GB) 8200MHz PC5-65600 CL38 A-DIE Desktop Memory Module Ram for 600 700 Series Chipset XMP 3.0 Ready Black - FF3D548G8200HC38EDC01,360.03,TEAMGROUP,FF3D548G8200HC38EDC01,48 GB,2 x 24 GB,DDR5,8200 MHz,288-PIN,CL38,https://amazon.com/dp/B0C4N11D1Q?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 8200MT/s CL40-52-52-131 1.35V Desktop Computer Memory UDIMM - Matte White (F5-8200J4052F24GX2-TZ5RW),349.99,G.Skill,F5-8200J4052F24GX2-TZ5RW,48 GB,2 x 24 GB,DDR5,8200 MHz,288-PIN,CL40,https://amazon.com/dp/B0CBLFCZQH?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 8000MT/s CL40-48-48-128 1.35V Desktop Computer Memory UDIMM - Metallic Silver (F5-8000J4048F24GX2-TZ5RS),279.99,G.Skill,F5-8000J4048F24GX2-TZ5RS,48 GB,2 x 24 GB,DDR5,8000 MHz,288-PIN,CL40,https://amazon.com/dp/B0C2BJV4MG?tag=pcbuilder00-20
Patriot Viper Xtreme 5 RGB DDR5 32GB (2X16GB) 8000MHz UDIMM KIT - PVXR532G80C38K,224.99,Patriot Memory,PVXR532G80C38K,32 GB,2 x 16 GB,DDR5,8000 MHz,288-PIN,CL38,https://amazon.com/dp/B0C3WBCLTM?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 8000MT/s CL40-48-48-128 1.35V Desktop Computer Memory UDIMM - Matte White (F5-8000J4048F24GX2-TZ5RW),279.99,G.Skill,F5-8000J4048F24GX2-TZ5RW,48 GB,2 x 24 GB,DDR5,8000 MHz,288-PIN,CL40,https://amazon.com/dp/B0CBLG1DNN?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 7800MT/s CL36-46-46-125 1.45V Desktop Computer Memory UDIMM - Matte Black (F5-7800J3646H16GX2-TZ5RK),199.99,G.Skill,F5-7800J3646H16GX2-TZ5RK,32 GB,2 x 16 GB,DDR5,7800 MHz,288-PIN,CL36,https://amazon.com/dp/B0BNYW8868?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 7800MT/s CL36-46-46-125 1.45V Desktop Computer Memory UDIMM - Metallic Silver (F5-7800J3646H16GX2-TZ5RS),195.62,G.Skill,F5-7800J3646H16GX2-TZ5RS,32 GB,2 x 16 GB,DDR5,7800 MHz,288-PIN,CL36,https://amazon.com/dp/B0BNYVP579?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 7600MT/s CL36-46-46-121 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-7600J3646G16GX2-TZ5RK),169.99,G.Skill,F5-7600J3646G16GX2-TZ5RK,32 GB,2 x 16 GB,DDR5,7600 MHz,288-PIN,CL36,https://amazon.com/dp/B0BJ84L4QT?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 7600MT/s CL36-46-46-121 1.40V Desktop Computer Memory UDIMM - Metallic Silver (F5-7600J3646G16GX2-TZ5RS),169.99,G.Skill,F5-7600J3646G16GX2-TZ5RS,32 GB,2 x 16 GB,DDR5,7600 MHz,288-PIN,CL36,https://amazon.com/dp/B0BJ7YRW4H?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 7600MT/s CL38-52-52-121 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-7600J3852F24GX2-TZ5RK),244.99,G.Skill,F5-7600J3852F24GX2-TZ5RK,48 GB,2 x 24 GB,DDR5,7600 MHz,288-PIN,CL38,https://amazon.com/dp/B0C5ZBZ1B7?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 7600MT/s CL38-48-48-121 1.35V Desktop Computer Memory UDIMM - Matte White (F5-7600J3848F24GX2-TZ5RW),249.99,G.Skill,F5-7600J3848F24GX2-TZ5RW,48 GB,2 x 24 GB,DDR5,7600 MHz,288-PIN,CL38,https://amazon.com/dp/B0CBLCY4T8?tag=pcbuilder00-20
TEAMGROUP T-Force Delta RGB DDR5 Ram 32GB Kit (2x16GB) 7200MHz (PC5-57600) CL34 Desktop Memory Module Ram (White) for 600 Series Chipset - FF4D532G7200HC34ADC01,129.99,TEAMGROUP,FF4D532G7200HC34ADC01,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0BG5L9H31?tag=pcbuilder00-20
XPG Lancer RGB DDR5 7200MHz 32GB (2x16GB) CL34 UDIMM 288-Pins Desktop SDRAM DDR5 Dual Channel RAM Kit White Heatsink (AX5U7200C3416G-DCLARWH),199.99,XPG,AX5U7200C3416G-DCLARWH,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0BSVSMSJ1?tag=pcbuilder00-20
XPG Lancer DDR5 RGB 7200MHz 32GB (2x16GB) CL34-46-46 UDIMM 288-Pins Desktop SDRAM DDR5 Dual Channel RAM Kit Black Heatsink (AX5U7200C3416G-DCLARBK),188.18,XPG,AX5U7200C3416G-DCLARBK,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0BSVSZ8JD?tag=pcbuilder00-20
TEAMGROUP T-Create Expert Overclocking 10L DDR5 32GB Kit (2 x 16GB) 7200MHz (PC5-57600) CL34 A-DIE Desktop Memory Module Ram White - CTCWD532G7200HC34ADC01,126.99,TEAMGROUP,CTCWD532G7200HC34ADC01,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0C4NJB8VH?tag=pcbuilder00-20
TEAMGROUP T-Create Expert Overclocking 10L DDR5 32GB Kit (2 x 16GB) 7200MHz (PC5-57600) CL34 A-DIE Desktop Memory Module Ram Black - CTCED532G7200HC34ADC01,126.99,TEAMGROUP,CTCED532G7200HC34ADC01,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0C4NM2LYK?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 7200MHz CL34 Intel XMP iCUE Compatible Computer Memory - Black (CMH32GX5M2X7200C34),139.99,Corsair,CMH32GX5M2X7200C34,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0BLYLPC9L?tag=pcbuilder00-20
CORSAIR Dominator Platinum RGB DDR5 RAM 32GB (2x16GB) 7200MHz CL34 Intel XMP iCUE Compatible Computer Memory - Black (CMT32GX5M2X7200C34),209.99,Corsair,CMT32GX5M2X7200C34,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0BRJ7XQNX?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 32GB (2x16GB) DDR5 7200MHz CL34 Intel XMP iCUE Compatible Computer Memory - Black (CMP32GX5M2X7200C34),219.99,Corsair,CMP32GX5M2X7200C34,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0CHSBX471?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 7200MT/s CL36-46-46-115 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-7200J3646F24GX2-TZ5RK),219.99,G.Skill,F5-7200J3646F24GX2-TZ5RK,48 GB,2 x 24 GB,DDR5,7200 MHz,288-PIN,CL36,https://amazon.com/dp/B0C2B1GB7H?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 48GB (2x24GB) DDR5 7200MHz CL36 Intel XMP iCUE Compatible Computer Memory - Black (CMP48GX5M2X7200C36),264.99,Corsair,CMP48GX5M2X7200C36,48 GB,2 x 24 GB,DDR5,7200 MHz,288-PIN,CL36,https://amazon.com/dp/B0CHSCVNQN?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 32GB (2x16GB) DDR5 7200MHz CL34 Intel XMP iCUE Compatible Computer Memory,219.99,Corsair,CMP32GX5M2X7200C34W,32 GB,2 x 16 GB,DDR5,7200 MHz,288-PIN,CL34,https://amazon.com/dp/B0CHSGVHCB?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 7200MT/s CL36-46-46-115 1.35V Desktop Computer Memory UDIMM - Metallic Silver (F5-7200J3646F24GX2-TZ5RS),219.99,G.Skill,F5-7200J3646F24GX2-TZ5RS,48 GB,2 x 24 GB,DDR5,7200 MHz,288-PIN,CL36,https://amazon.com/dp/B0C2B65XQ7?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 7200MT/s CL36-46-46-115 1.35V Desktop Computer Memory UDIMM - Matte White (F5-7200J3646F24GX2-TZ5RW),209.99,G.Skill,F5-7200J3646F24GX2-TZ5RW,48 GB,2 x 24 GB,DDR5,7200 MHz,288-PIN,CL36,https://amazon.com/dp/B0CBLC4142?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 7000MHz CL34 Intel XMP iCUE Compatible Computer Memory - Black (CMH32GX5M2X7000C34),155.99,Corsair,CMH32GX5M2X7000C34,32 GB,2 x 16 GB,DDR5,7000 MHz,288-PIN,CL36,https://amazon.com/dp/B0BLYLQZJL?tag=pcbuilder00-20
CORSAIR VENGEANCE DDR5 RAM 32GB (2x16GB) 7000MHz CL34 Intel XMP iCUE Compatible Computer Memory - Black (CMK32GX5M2X7000C34),147.99,Corsair,CMK32GX5M2X7000C34,32 GB,2 x 16 GB,DDR5,7000 MHz,288-PIN,CL34,https://amazon.com/dp/B0BLSSGP3Q?tag=pcbuilder00-20
CORSAIR VENGEANCE DDR5 RAM 48GB (2x24GB) 7000MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMK48GX5M2B7000C40),149.99,Corsair,CMK48GX5M2B7000C40,32 GB,2 x 24 GB,DDR5,7000 MHz,288-PIN,CL40,https://amazon.com/dp/B0BY6XF4BQ?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 48GB (2x24GB) DDR5 7000MHz CL36 Intel XMP iCUE Compatible Computer Memory - Black (CMP48GX5M2B7000C36),259.99,Corsair,CMP48GX5M2B7000C36,48 GB,2 x 24 GB,DDR5,7000 MHz,288-PIN,CL36,https://amazon.com/dp/B0CHSF5G4K?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6800MT/s CL34-45-45-108 1.40V Desktop Computer Memory UDIMM - Metallic Silver (F5-6800J3445G16GX2-TZ5RS),124.99,G.Skill,F5-6800J3445G16GX2-TZ5RS,32 GB,2 x 16 GB,DDR5,6800 MHz,288-PIN,CL34,https://amazon.com/dp/B0BJ7VT6N4?tag=pcbuilder00-20
G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 64GB (2x32GB) 6800MT/s CL34-45-45-108 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6800J3445G32GX2-RS5K),249.99,G.Skill,F5-6800J3445G32GX2-RS5K,64 GB,2 x 32 GB,DDR5,6800 MHz,288-PIN,CL34,https://amazon.com/dp/B0C6HV2T9Z?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 96GB (2x48GB) 6800MT/s CL34-46-46-108 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6800J3446F48GX2-TZ5RK),419.99,G.Skill,F5-6800J3446F48GX2-TZ5RK,96 GB,2 x 48 GB,DDR5,6800 MHz,288-PIN,CL34,https://amazon.com/dp/B0C5Z54Q54?tag=pcbuilder00-20
G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 96GB (2x48GB) 6800MT/s CL34-46-46-108 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6800J3446F48GX2-RS5K),399.99,G.Skill,F5-6800J3446F48GX2-RS5K,96 GB,2 x 48 GB,DDR5,6800 MHz,288-PIN,CL34,https://amazon.com/dp/B0C6HVCQD4?tag=pcbuilder00-20
G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 6800MT/s CL34-46-46-108 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6800J3446F24GX2-RS5K),159.99,G.Skill,F5-6800J3446F24GX2-RS5K,48 GB,2 x 24 GB,DDR5,6800 MHz,288-PIN,CL34,https://amazon.com/dp/B0C6HVR5RD?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 48GB (2x24GB) 6800MT/s CL34-46-46-108 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6800J3446F24GX2-TZ5RK),169.99,G.Skill,F5-6800J3446F24GX2-TZ5RK,48 GB,2 x 24 GB,DDR5,6800 MHz,288-PIN,CL34,https://amazon.com/dp/B0C5ZCY163?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 64GB (2x32GB) 6800MT/s CL34-45-45-108 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6800J3445G32GX2-TZ5RK),269.99,G.Skill,F5-6800J3445G32GX2-TZ5RK,64 GB,2 x 32 GB,DDR5,6800 MHz,288-PIN,CL34,https://amazon.com/dp/B0C5Z8VJN5?tag=pcbuilder00-20
CORSAIR Dominator Platinum RGB DDR5 RAM 64GB (2x32GB) 6800MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMT64GX5M2B6800C40),324.99,Corsair,CMT64GX5M2B6800C40,64 GB,2 x 32 GB,DDR5,6800 MHz,288-PIN,CL40,https://amazon.com/dp/B0C5M83K5M?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 96GB (2x48GB) 6800MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMH96GX5M2B6800C40),384.99,Corsair,CMH96GX5M2B6800C40,96 GB,2 x 48 GB,DDR5,6800 MHz,288-PIN,CL40,https://amazon.com/dp/B0CCXSCG5Q?tag=pcbuilder00-20
CORSAIR VENGEANCE DDR5 RAM 64GB (2x32GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMK64GX5M2B6600C32),236.45,Corsair,CMK64GX5M2B6600C32,64 GB,2 x 32 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0BTNX6RYK?tag=pcbuilder00-20
CORSAIR VENGEANCE DDR5 RAM 64GB (4x16GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMK64GX5M4B6600C32),279.99,Corsair,CMK64GX5M4B6600C32,64 GB,4 x 16 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0BVKY252S?tag=pcbuilder00-20
CORSAIR VENGEANCE DDR5 RAM 96GB (2x48GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMK96GX5M2B6600C32),369.99,Corsair,CMK96GX5M2B6600C32,96 GB,2 x 48 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0CCXVXYQW?tag=pcbuilder00-20
CORSAIR VENGEANCE DDR5 RAM 32GB (2x16GB) 6600MHz CL38 Intel XMP iCUE Compatible Computer Memory - Black (CMK32GX5M2B6600C38),109.99,Corsair,CMK32GX5M2B6600C38,32 GB,2 x 16 GB,DDR5,6600 MHz,288-PIN,CL38,https://amazon.com/dp/B0CBRHX1KT?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6600MT/s CL34-40-40-105 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6600J3440G16GA2-TZ5RK),119.99,G.Skill,F5-6600J3440G16GA2-TZ5RK,32 GB,2 x 16 GB,DDR5,6600 MHz,288-PIN,CL34,https://amazon.com/dp/B09Z1SRR22?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6600MT/s CL34-40-40-105 1.40V Desktop Computer Memory UDIMM - Metallic Silver (F5-6600J3440G16GA2-TZ5RS),119.99,G.Skill,F5-6600J3440G16GA2-TZ5RS,32 GB,2 x 16 GB,DDR5,6600 MHz,288-PIN,CL34,https://amazon.com/dp/B09Z24G721?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 96GB (2x48GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMH96GX5M2B6600C32),379.99,Corsair,CMH96GX5M2B6600C32,96 GB,2 x 48 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0CCXSRN1Y?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 64GB (2x32GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMH64GX5M2B6600C32),240,Corsair,CMH64GX5M2B6600C32,64 GB,2 x 32 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0C1RG29C4?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 64GB (4x16GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMH64GX5M4B6600C32),309.99,Corsair,CMH64GX5M4B6600C32,64 GB,4 x 16 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0BVKY73YS?tag=pcbuilder00-20
