Title,Price,Brand,Model,Capacity:,Type:,RPM,Interface,Cache Memory,Form Factor,Link
Samsung EVO 970 1TB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive with V-NAND Technology & 1024MB Cache,209.99,Samsung,970 EVO,1 TB,SSD,,PCIe 3.0 x4,1024 MB,M.2-2280,https://amazon.com/dp/B07BN217QG?tag=pcbuilder00-20
"Seagate BarraCuda 2TB SATA 3 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 256MB Cache",55.49,Seagate,BarraCuda,2 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B075WWN4QJ?tag=pcbuilder00-20
"Samsung EVO 970, 500GB PCIe NVMe M.2-2280 Internal Solid State Drive with V-NAND Technology & 512MB Cache",112,Samsung,EVO 970,500 GB,SSD,,PCIe 3.0 x4,512 MB,M.2-2280,https://amazon.com/dp/B07BN4NJ2J?tag=pcbuilder00-20
"Western Digital WD Blue 1TB SATA 3 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 64 MB Cache",34.99,Western Digital,Caviar Blue,1 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B0088PUEPK?tag=pcbuilder00-20
Crucial P1 1TB PCIe Gen3 x4 NVMe M.2-2280 3D NAND Internal Solid State Drive,129.99,Crucial,P1,1 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07J2Q4SWZ?tag=pcbuilder00-20
"Western Digital WD Blue 500GB SATA 3 6Gb/s, M.2-2280 3D NAND Internal Solid State Drive",68,Western Digital,Blue 500,500 GB,SSD,,SATA III 6 Gb/s,,M.2-2280,https://amazon.com/dp/B073SBX6TY?tag=pcbuilder00-20
"Kingston A400 240GB SATA 3 6Gb/s, 2.5"" Internal Solid State Drive",19.99,Kingston,A400,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B01N5IB20Q?tag=pcbuilder00-20
Crucial P1 500GB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive,55 (Used),Crucial,P1,500 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07J2WBKXF?tag=pcbuilder00-20
"Western Digital WD Blue 1TB SATA 3 6Gb/s, M.2-2280 3D NAND Internal Solid State Drive",122.11,Western Digital,Blue,1 TB,SSD,,SATA III 6 Gb/s,,M.2-2280,https://amazon.com/dp/B073SB2MXT?tag=pcbuilder00-20
SAMSUNG EVO 970 Plus 2TB PCIe NVMe M.2-2280 Internal Solid State Drive with V-NAND Technology & 1024MB Cache,154.99,Samsung,EVO 970,2 TB,SSD,,PCIe x4,1024 MB,M.2-2280,https://amazon.com/dp/B07MFZXR1B?tag=pcbuilder00-20
"Samsung EVO 860, 500GB SATA 3 6Gb/s, 2.5"" Internal Solid State Drive with 512MB Cache",74.99,Samsung,EVO 500,500 GB,SSD,,SATA III 6 Gb/s,512 MB,"2.5""",https://amazon.com/dp/B0781Z7Y3S?tag=pcbuilder00-20
"Seagate BarraCuda 2TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 256MB Cache",47.99,Seagate,BarraCuda,2 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07H2RR55Q?tag=pcbuilder00-20
"Seagate BarraCuda 1TB SATA 3 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 64MB",48.80,Seagate,BarraCuda,1 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B01LNJBA2I?tag=pcbuilder00-20
Samsung EVO 970 Plus 1TB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive with V-NAND Technology & 1024MB Cache,96,Samsung,EVO 970,1 TB,SSD,,PCIe 3.0 x4,1024 MB,M.2-2280,https://amazon.com/dp/B07MFZY2F2?tag=pcbuilder00-20
"Western Digital WD Blue 500GB 3D NAND SATA 3 6Gb/s, 2.5"" Internal Solid State Drive",70,Western Digital,Blue 500,500 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B073SBZ8YH?tag=pcbuilder00-20
"Seagate BarraCuda 4TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 5400 RPM & 256MB Cache",74.19,Seagate,BarraCuda,4 TB,HDD,5400 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B071WLPRHN?tag=pcbuilder00-20
"Western Digital WD Blue SN550, 1TB PCIe Gen3 x4 NVMe Internal Solid State Drive",156,Western Digital,Blue SN 550,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07YFFX5MD?tag=pcbuilder00-20
Sabrent Rocket Q 8TB PCIe NVMe M.2-2280 High Performance Internal Solid State Drive,/A,Sabrent,Rocket Q,8 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B08957PT2K?tag=pcbuilder00-20
SAMSUNG EVO 970 Plus 250GB PCIe NVMe M.2-2280 Internal Solid State Drive with V-NAND Technology & 512MB Cache,54.99,Samsung,EVO 970,250 GB,SSD,,PCIe x4,512 MB,M.2-2280,https://amazon.com/dp/B07MG119KG?tag=pcbuilder00-20
"TEAMGROUP GX2 512GB SATA 3 6Gb/s, 2.5"" Internal Solid State Drive",36.99,TEAMGROUP,GX2,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07NRMXWHW?tag=pcbuilder00-20
"Crucial MX500 1TB 3D NAND SATA 3 6Gb/s, 2.5"" Internal Solid State Drive",67.99,Crucial,MX 500,1 TB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B078211KBB?tag=pcbuilder00-20
"Western Digital WD Blue SN550, 500GB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive",89.99,Western Digital,Blue SN 550,500 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07YFF3JCN?tag=pcbuilder00-20
Western Digital WD Black SN750 1TB 3D NAND PCIe NVMe M.2-2280 Internal Solid State Drive,137.99,Western Digital,SN 750,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07M64QXMN?tag=pcbuilder00-20
Samsung QVO 860 1TB Internal Solid State Drive with V-NAND Technology,178,Samsung,QVO 860,1 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07L3D19MY?tag=pcbuilder00-20
"Western Digital WD Gold Enterprise Class 18TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 512 MB Cache",374.65,Western Digital,Gold 18,18 TB,HDD,7200 RPM,SATA 6 Gb/s,512 MB,"3.5""",https://amazon.com/dp/B089S3CZ41?tag=pcbuilder00-20
Samsung EVO 970 Plus 500GB PCIe M.2-2280 NVMe Internal Solid State Drive with V-NAND Technology with 512MB Cache,59.99,Samsung,EVO 970,500 GB,SSD,,PCIe 3.0 x4,512 MB,M.2-2280,https://amazon.com/dp/B07M7Q21N7?tag=pcbuilder00-20
"Kingston A400 120GB SATA 3 6Gb/s, 2.5"" Internal Solid State Drive",18.99,Kingston,A400,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B01N6JQS8C?tag=pcbuilder00-20
ADATA XPG SX8200 Pro 1TB 3D NAND PCIe Gen3 NVMe M.2-2280 Internal Solid State Drive,74.99,ADATA,XPG SX8200 Pro,1 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07K1J3C23?tag=pcbuilder00-20
"Kingston A400 480GB SATA 3 6Gb/s, 2.5"" Internal Solid State Drive",29.19,Kingston,A400,480 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B01N0TQPQB?tag=pcbuilder00-20
"Western Digital WD Black SN750, 500GB PCIe Gen3 NVMe M.2-2280 Internal Solid State Drive",70.87,Western Digital,SN750,500 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07MH2P5ZD?tag=pcbuilder00-20
"Samsung SSD 860 EVO 2TB SATA 6Gb/s, 2.5"" Internal Solid State Drive",279.15,Samsung,EVO 860,2 TB,SSD,,SATA 6 Gb/s,2048 MB,"2.5""",https://amazon.com/dp/B0786QNSBD?tag=pcbuilder00-20
"Western Digital WD Blue 1TB SATA 6Gb/s 3D NAND 2.5"" Internal Solid State Drive",79.99,Western Digital,Blue,1 TB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B073SBQMCX?tag=pcbuilder00-20
Corsair Force MP600 Series 1TB PCIe Gen4 NVMe M.2-2280 Internal Solid State Drive,144.99,Corsair,Force MP600,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07SQZYW2V?tag=pcbuilder00-20
"ADATA SU635 240GB 3D-NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",19.99,ADATA,SU635,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07PLNNDL2?tag=pcbuilder00-20
"Seagate IronWolf Pro 16TB SATA 6Gb/s, 3.5"" Internal Hard Disk Drive with 7200 RPM & 256MB Cache",290,Seagate,Iron Wolf Pro,16 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B07SJTST6T?tag=pcbuilder00-20
Sabrent Rocket 1TB PCIe Gen4 NVMe M.2-2280 Extreme Performance Internal Solid State Drive,129.99,Sabrent,Rocket 4.0,1 TB,SSD,,PCIe 4.0 x4,,M.2-2280,https://amazon.com/dp/B07TLYWMYW?tag=pcbuilder00-20
"Crucial MX500 500GB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",47.99,Crucial,MX500,500 GB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B0786QNS9B?tag=pcbuilder00-20
"Western Digital WD Blue 250GB 3D NAND SATA 6Gb/s, M.2-2280 Internal Solid State Drive",67.76,Western Digital,Blue 250,250 GB,SSD,,SATA III 6 Gb/s,,M.2-2280,https://amazon.com/dp/B073SBV3XX?tag=pcbuilder00-20
"TEAMGROUP GX2 1TB SATA 6Gb/s, 2.5"" Internal Solid State Drive",67.94,TEAMGROUP,GX2,1 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07PX2KKHM?tag=pcbuilder00-20
"Samsung EVO 860, 250GB SATA 6Gb/s, 2.5"" Internal Solid State Drive",64.50,Samsung,EVO 860,250 GB,SSD,,SATA III 6 Gb/s,512 MB,"2.5""",https://amazon.com/dp/B07864WMK8?tag=pcbuilder00-20
Intel 660P Series 1TB PCIe M.2-2280 Internal Solid State Drive,79.99,Intel,660p,1 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07GCL6BR4?tag=pcbuilder00-20
"Silicon Power Ace A55, 256GB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",18.99,SP Silicon Power,Ace A55,256 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B075RJS55D?tag=pcbuilder00-20
TEAMGROUP MS30 512GB SATA Rev 3.0 (6Gb/s) M.2 Internal Solid State Drive,25.49,TEAMGROUP,MS30,512 GB,SSD,,SATA 6 Gb/s,,M.2-2280,https://amazon.com/dp/B07H21182F?tag=pcbuilder00-20
"Western Digital WD Black 4TB SATA 6Gb/s, 3.5"" High Performance Internal Hard Drive with 7200 RPM & 256 MB Cache",110,Western Digital,WD Black,4 TB,HDD,7200 RPM,SATA 6 Gb/s,256 MB,"3.5""",https://amazon.com/dp/B0792G331G?tag=pcbuilder00-20
"Western Digital WD Blue 2TB 3D NAND SATA 6Gb/s, M.2-2280 Internal Solid State Drive",134.99,Western Digital,WD Blue,2 TB,SSD,,SATA III 6 Gb/s,,M.2-2280,https://amazon.com/dp/B073SBW3VD?tag=pcbuilder00-20
"Silicon Power A60, 512GB PCIe Gen3 x4 NVMe M.2-2280 Internal Solid State Drive",31.49,SP Silicon Power,A60,512 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07ZGJYLNL?tag=pcbuilder00-20
Kingston A2000 1TB PCIe NVMe M.2-2280 Internal Solid State Drive,95.49,Kingston,A2000,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07VXC9QMH?tag=pcbuilder00-20
Sabrent Rocket Q 1TB PCIe NVMe M.2-2280 High Performance Internal Solid State Drive,79.99,Sabrent,Rocket Q,1 TB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07ZZYWTBP?tag=pcbuilder00-20
"Seagate Bare Drives BarraCuda 1TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 64MB Cache",44.99,Seagate,BarraCuda,1 TB,HDD,5400 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B07D99KFPK?tag=pcbuilder00-20
"Seagate IronWolf Pro 4 TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 128MB Cache",139.88,Seagate,IronWolf Pro,4.0 TB,HDD,7200 RPM,SATA 6 Gb/s,128 MB,"3.5""",https://amazon.com/dp/B07SY4T6F5?tag=pcbuilder00-20
Kingston A2000 500GB PCIe NVMe M.2-2280 Internal Solid State Drive,72.99,Kingston,A2000,500 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07VXCFNVS?tag=pcbuilder00-20
"Silicon Power 512GB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",25.99,SP Silicon Power,A55,512 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07997QV4Z?tag=pcbuilder00-20
"ADATA XPG SX8200 Pro, 512GB PCIe NVMe M.2-2280 Internal Solid State Drive",83.66,ADATA,XPG SX8200 Pro,512 GB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07K1HMMJC?tag=pcbuilder00-20
