PC Name,Price,Link,,,
"Skytech Gaming Prism II Lian Li O11 PC Desktop ??Intel Core i9 13900K 3.0 GHz, NVIDIA RTX 4070 Ti, 1TB NVME Gen4 SSD, 32GB DDR5 RAM RGB, 1000W Gold PSU, 360mm AIO, 11AC Wi-Fi, Windows 11 Home 64-bit","2,499.99",https://www.amazon.com/Skytech-Gaming-Prism-Lian-Desktop/dp/B0C8BZ5P6K/ref=sr_1_3?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-3,,,
"ViprTech Avalanche 2.0 Gaming PC Computer Desktop - AMD Ryzen 7 (16-LCore), AMD Radeon RX 580 8GB, 32GB DDR4 3200 RAM, 1TB NVMe SSD, 700w PSU, VR-Ready, RGB, WiFi, Windows 11 Pro, Warranty",609.99,https://www.amazon.com/ViprTech-Avalanche-Gaming-Computer-Desktop/dp/B0CB99HPPY/ref=sr_1_4?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-4,,,
"Skytech Gaming Nebula Gaming PC Desktop ??Intel Core i5 13400F 2.5 GHz, NVIDIA RTX 3050, 1TB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit",749.99,https://www.amazon.com/Skytech-Gaming-Nebula-PC-Desktop/dp/B0CDQRW7PG/ref=sr_1_5?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-5,,,
"STGAubron Gaming Desktop PC,Intel Core i7 3.4G up to 3.9G,GeForce GTX1660Ti 6G GDDR6,32G,1T SSD,WiFi,BT 5.0,RGB Fanx6,RGB Keybaord&Mouse&Mouse Pad,RGB BT Sound Bar,RGB BT Gaming Mic,W10H64",549.99,https://www.amazon.com/STGAubron-Desktop-GeForce-GTX1660Ti-Keybaord/dp/B0BNC2LS41/ref=sr_1_6?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-6,,,
"STGAubron Gaming Desktop PC Computer,Intel Core I7 3.4 GHz up to 3.9 GHz,Radeon RX 580 8G GDDR5,16G RAM,512G SSD,WiFi,Bluetooth 5.0,RGB Fanx6,RGB Keyboard&Mouse&Mouse Pad,RGB BT Sound Bar,W10H64",399.99,https://www.amazon.com/STGAubron-Desktop-Computer-Bluetooth-Keyboard/dp/B0BK539D4V/ref=sr_1_7?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-7,,,
"GMKtec Gaming Mini PC Windows 11 Pro AMD Ryzen 7 7735HS Mini Computer up to 4.75GHz 32GB DDR5 RAM 1TB Hard Drive PCIe SSD AMD Radeon 680M, 2 x HDMI, 1x USB4, 4X USB Ports, WiFi 6, BT5.2 Nucbox K2",579.99,https://www.amazon.com/GMKtec-Gaming-Computer-Ryzen-7735HS/dp/B0C6TFBKCG/ref=sr_1_8?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-8,,,
"Dell OptiPlex RGB Desktop Computer PC, Intel Core i7 up to 3.8GHz, 16G RAM, 512G SSD, New 22 inch FHD LED Monitor, RGB Keyboard and Mouse, RGB BT Sound Bar, Webcam, WiFi, BT 5.0, W10P64 (Renewed)",235.69,https://www.amazon.com/Dell-OptiPlex-Desktop-Computer-Keyboard/dp/B0BKZTSKKR/ref=sr_1_9?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-9,,,
"BENICO Mini PC, AMD Ryzen 5 5600H (6C/12T, up to 4.2Ghz), 16GB DDR4 512GB M.2 2280 NVMe SSD, Mini Desktop Computer Windows 11, WiFi 6/Dual Ethernet HDMI/Type-C/USB3.0*2, Cooling fan, Support 4K@60Hz",299.99,https://www.amazon.com/BENICO-Desktop-Computer-Windows-Ethernet/dp/B0C49G78J1/ref=sr_1_10?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-10,,,
"Dell RGB Gaming Desktop Computer PC, Intel Core i5, GeForce GT 1030 2GB GDDR5, 16GB RAM, 512GB SSD, 24 Inch HDMI Monitor, RGB Keyboard Mouse and Headset, WiFi, Windows 10 Pro (Renewed)",299.99,https://www.amazon.com/Dell-Desktop-Computer-GeForce-Keyboard/dp/B0CFV86D52/ref=sr_1_11?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-11,,,
"STGAubron Gaming Desktop PC, Intel Core i7-6700 up to 4.0G, 32G DDR4, 1T SSD, GeForce RTX 3060 Ti 8G GDDR6, 600M WiFi, BT 5.0, RGB Fan x 7, RGB Keyboard & Mouse & Mouse Pad, RGB BT Sound Bar, W10H64",749.99,https://www.amazon.com/STGAubron-Desktop-i7-6700-GeForce-Keyboard/dp/B0CGMFV819/ref=sr_1_13?crid=13K6ZIW5WECV6&keywords=pc&qid=1699193263&sprefix=pc%2Caps%2C288&sr=8-13,,,
