Title,Price,Brand,Model,Power,Efficiency,Link
Coolmax 400W SATA&20/24pin Power Supply V-400,24.99,Coolmax Technologies,14616,400 W,,https://amazon.com/dp/B000BKBVT8?tag=pcbuilder00-20
Thermaltake Smart 430W 80+ Black Continuous Power ATX 12V V2.3/EPS 12V Active PFC Power Supply,27.99,Thermaltake,PS-SPD-0430NPCWUS-W,430 W,80+,https://amazon.com/dp/B07BFJ91TY?tag=pcbuilder00-20
"EVGA 100-N1-0400-L1 , 400 N1, 400W, 2 Year Warranty, Power Supply 100-N1-0400-L1",28.2,EVGA,100-N1-0400-L1,400 W,80+ Bronze,https://amazon.com/dp/B00LV8TZAG?tag=pcbuilder00-20
CoolMax V-500 500 Watt 120MM Serial ATA Power Supply With Silent Fan,29.77,Coolmax Technologies,14621,500 W,80+,https://amazon.com/dp/B000LM7PCS?tag=pcbuilder00-20
"Logisys Corp. 550W 120mm Ball Bearing Fan with PSU ATX 550 Power Supply PS550E12BK, Black",29.99,Logisys,PS550E12BK,550 W,80+ Gold,https://amazon.com/dp/B004MU8VCS?tag=pcbuilder00-20
Raidmax 300W XT Series Power Supply,29.99,Raidmax,RX-300XT,300 W,80,https://amazon.com/dp/B0714K8QLJ?tag=pcbuilder00-20
Apevia CAPTAIN550 ATX Power Supply with All Black Cables,31.99,Apevia,CAPTAIN550,550 W,80+,https://amazon.com/dp/B089PZCB7X?tag=pcbuilder00-20
"Enermax Cyberbron 80+ Bronze 500W, Non-Modular Power Supply, 120mm Fan, Black Flat Cable",37,Enermax,Cyberbron,500 W,80+ Bronze,https://amazon.com/dp/B08K1ZBYPZ?tag=pcbuilder00-20
Thermaltake Toughpower GX2 80+ Gold 600W SLI/Crossfire Ready Continuous Power ATX 12V V2.4/EPS V2.92 Non Modular Power Supply,38.99,Thermaltake,Toughpower GX2,600 W,80+ Gold,https://amazon.com/dp/B087CDR14Z?tag=pcbuilder00-20
Athena Power AP-MTFX30 300W TFX Form Factor Power Supply,38.99,Athena Power,NA,300 W,,https://amazon.com/dp/B00634R3I4?tag=pcbuilder00-20
Thermaltake TR2 500W ATX 12 V2.3 Power Supply TR-500CUS,39.12,Thermaltake,TR2-500W,500 W,80,https://amazon.com/dp/B0058FAYQC?tag=pcbuilder00-20
"Thermaltake Smart 500W 80+ White Certified PSU, Continuous Power with 120mm Ultra Quiet Cooling Fan, ATX 12V V2.3/EPS 12V Active PFC Power Supply",39.99,Thermaltake,PS-SPD-0500NPCWUS-W,500 W,80+,https://amazon.com/dp/B014W3EM2W?tag=pcbuilder00-20
"Corsair CV Series (CV450), 80+ Bronze Certified 450W Fixed Cable Power Supply",39.99,Corsair,CV,450 W,80+ Bronze,https://amazon.com/dp/B0838YLZ1H?tag=pcbuilder00-20
ADATA XPG Pylon 450W 80 Plus Bronze Certified 120mm Fluid Dynamic Bearing Fan Power Supply,39.99,ADATA,XPG Pylon,450 W,80+ Bronze,https://amazon.com/dp/B08G5CBYCW?tag=pcbuilder00-20
Coolmax ZX-500 500W 80 Plus ATX12V 2.2/EPS12V 2.91 Power Supply w/ Active PFC,39.99,Coolmax,ZX-500,500 W,80+,https://amazon.com/dp/B0075WFDYO?tag=pcbuilder00-20
Thermaltake SMART 600W ATX 12V V2.3/EPS 12V 80 Plus Certified Active PFC Power Supply,42.99,Thermaltake,SMART 600,600 W,80+,https://amazon.com/dp/B014W3EMAO?tag=pcbuilder00-20
Cooler Master Elite 500W Ver.3 - ATX Power Supply Quiet 120mm Fan PCI-E Support,45.46,Cooler Master,MPW-5001-ACAAN1-US,500 W,80,https://amazon.com/dp/B07CZ1LY3K?tag=pcbuilder00-20
"EVGA 600W 80 Plus Certified 100-W1-0600-K1 Power Supply, 600W",45.5,EVGA,100-W1-0600-K1,600 W,80+,https://amazon.com/dp/B0160XJAQK?tag=pcbuilder00-20
Apex SL-275TFX Slim Line 275W Chassis Power Supply P4 24PIN Psu,45.95,APEX LEGENDS,SL-275TFX,275 W,80+,https://amazon.com/dp/B000TFQ5HI?tag=pcbuilder00-20
