Price,Brand,Model,Cabinet Type,Link
69.99,NZXT,H510B-B1,ATX Full Tower,https://amazon.com/dp/B07TD9C5HS?tag=pcbuilder00-20
94.62,Thermaltake,CA-1Y2-00M6WN-00,ATX Full Tower,https://amazon.com/dp/B0C39ZYZ9V?tag=pcbuilder00-20
103.33,Fractal Design,FD-C-POS1X-02,ATX Full Tower,https://amazon.com/dp/B08KTM7F6Y?tag=pcbuilder00-20
103.33,Fractal Design,FD-C-POS1X-01,ATX Full Tower,https://amazon.com/dp/B08KTMSQSZ?tag=pcbuilder00-20
107.91,Antec,0-761345-10088-5,ATX Full Tower,https://amazon.com/dp/B0BTRYDX4K?tag=pcbuilder00-20
110.99,Antec,0-761345-81201-6,ATX Full Tower,https://amazon.com/dp/B08VH6VSG7?tag=pcbuilder00-20
119.99,COUGAR,3857C90.0001,ATX Full Tower,https://amazon.com/dp/B0CLD3T5SH?tag=pcbuilder00-20
119.99,COUGAR,3857C90.0002,ATX Full Tower,https://amazon.com/dp/B0CLD481Z9?tag=pcbuilder00-20
125.09,Thermaltake,CA-1X6-00F1WN-01,ATX Full Tower,https://amazon.com/dp/B0C57PGT8R?tag=pcbuilder00-20
128.22,Fractal Design,FD-C-POR1X-06,ATX Full Tower,https://amazon.com/dp/B08T1VC921?tag=pcbuilder00-20
128.22,Fractal Design,FD-C-POR1X-01,ATX Full Tower,https://amazon.com/dp/B08KTMWY5H?tag=pcbuilder00-20
129.99,MagniumGear,MG-NE620Q_DBK02,ATX Full Tower,https://amazon.com/dp/B07YFQ1TSL?tag=pcbuilder00-20
131.99,Fractal Design,Meshify 2 Compact TG Dark Tint,ATX Full Tower,https://amazon.com/dp/B08X7BJZG1?tag=pcbuilder00-20
138.28,Thermaltake,CA-1X6-00F6WN-00,ATX Full Tower,https://amazon.com/dp/B0C57Q2D5V?tag=pcbuilder00-20
139.99,Phanteks,Enthoo Pro,ATX Full Tower,https://amazon.com/dp/B00KFAG6DA?tag=pcbuilder00-20
145.99,Phanteks,Enthoo Pro,ATX Full Tower,https://amazon.com/dp/B00K6S1B3Q?tag=pcbuilder00-20
149.99,Phanteks,Enthoo Pro,ATX Full Tower,https://amazon.com/dp/B078K32G27?tag=pcbuilder00-20
151.11,Phanteks,PH-ES620PC_BK02,ATX Full Tower,https://amazon.com/dp/B0CBPL895B?tag=pcbuilder00-20
153.65,Thermaltake,CA-1X6-00F6WN-01,ATX Full Tower,https://amazon.com/dp/B0C57QYSB2?tag=pcbuilder00-20
155.09,Thermaltake,CA-1X6-00F1WN-00,ATX Full Tower,https://amazon.com/dp/B0C57RVDZQ?tag=pcbuilder00-20
157.99,Thermaltake,Core X71,ATX Full Tower,https://amazon.com/dp/B01N4R021Q?tag=pcbuilder00-20
159.05,Phanteks,PH-ES620PTG_BK02,ATX Full Tower,https://amazon.com/dp/B0CBPM8492?tag=pcbuilder00-20
161,COUGAR,Panzer Max,ATX Full Tower,https://amazon.com/dp/B01HQHQF1W?tag=pcbuilder00-20
164,Cougar,Panzer Max-G,ATX Full Tower,https://amazon.com/dp/B07YN2H66T?tag=pcbuilder00-20
171.76,ASUS,GT501 TUF GAMING CASE/YEL/HANDLE,ATX Full Tower,https://amazon.com/dp/B0B7VSQ1PB?tag=pcbuilder00-20
174.99,Thermaltake,Core V71,ATX Full Tower,https://amazon.com/dp/B074ZLQZ8F?tag=pcbuilder00-20
179.99,Lian Li,PC-O11D Razer,ATX Full Tower,https://amazon.com/dp/B07P96XQNJ?tag=pcbuilder00-20
180.63,Raijintek,0R200050,ATX Full Tower,https://amazon.com/dp/B0794N1XVL?tag=pcbuilder00-20
185.99,Lian Li,PC-O11 Dynamic,ATX Full Tower,https://amazon.com/dp/B07C88X1VV?tag=pcbuilder00-20
189.74,Corsair,Graphite 780T,ATX Full Tower,https://amazon.com/dp/B00LA6ZLGQ?tag=pcbuilder00-20
189.99,Phanteks,PH-ES620PTG_DBK01,ATX Full Tower,https://amazon.com/dp/B0894J31QS?tag=pcbuilder00-20
205.99,Thermaltake,View 51,ATX Full Tower,https://amazon.com/dp/B08451HJGG?tag=pcbuilder00-20
