Title,Price,Brand,Model,Link
Zalman CPU Fan Cooling,9.99,Zalman,CNPS2X,https://amazon.com/dp/B00DKTOZTU?tag=pcbuilder00-20
"ARCTIC Alpine 12 LP - CPU Cooler for Intel Sockets 115x and 1200, with 92 mm PWM Fan, Low Profile, up to 75 W Cooling Power",10.94,ARCTIC,Alpine 12 LP,https://amazon.com/dp/B07HJ3DWQ2?tag=pcbuilder00-20
Thermaltake Gravity i2 95W Intel LGA 1156/1155/1150/1151 92mm CPU Cooler,11.99,Thermaltake,Gravity i2,https://amazon.com/dp/B00O4UIZ86?tag=pcbuilder00-20
"ARCTIC Alpine 17 - CPU Cooler, 92 mm PWM Fan, Radial Heatsink, Top Blower, Intel LGA 1700, 4-pin Connector, 100-2000 RPM",11.99,ARCTIC,ACALP00040A,https://amazon.com/dp/B09SHV7LZ3?tag=pcbuilder00-20
"ARCTIC Alpine 23 - Compact AMD CPU Cooler for AM4, Thermal Compound MX-2 pre-Applied, Computer",11.99,ARCTIC,Alpine 23,https://amazon.com/dp/B08PZGM4TW?tag=pcbuilder00-20
"Theta 20 PWM - Prozessorkühler - (Socket 1156, Socket 1155)",12.49,DEEP COOL,THETA 20 PWM,https://amazon.com/dp/B0050K4MYK?tag=pcbuilder00-20
Intel E97379-001 Core i3/i5/i7 Socket 1150/1155/1156 4-Pin Connector CPU Cooler With Aluminum Heatsink and 3.5-Inch Fan For Desktop PC Computer,12.59,Intel,E97379-001,https://amazon.com/dp/B004XJNC0O?tag=pcbuilder00-20
"ARCTIC Alpine 17 CO - CPU Cooler, 92 mm PWM Fan, Radial Heatsink, Top Blower, Intel LGA 1700, 4-pin Connector, Ball Bearing for Continuous Operation, 250-2700 RPM",12.99,ARCTIC,Alpine 17 CO,https://amazon.com/dp/B09SHW7N48?tag=pcbuilder00-20
"ARCTIC Alpine 23 CO - Compact AMD CPU Cooler for AM4, Thermal Compound MX-2 pre-Applied, for Continous Operation, Computer, PC",12.99,ARCTIC,Alpine 23,https://amazon.com/dp/B08QNBBVH5?tag=pcbuilder00-20
Thermaltake UX100 5V Motherboard ARGB Sync 16.8 Million Colors 15 Addressable LED Intel/AMD Universal Socket Hydraulic Bearing 65W CPU Cooler,13.99,Thermaltake,UX100,https://amazon.com/dp/B07WW26KV7?tag=pcbuilder00-20
