Price,Brand,Model,Power,Efficiency,Link
39.99,ADATA,XPG Pylon,450,80+ Bronze,https://amazon.com/dp/B08G5CBYCW?tag=pcbuilder00-20
77.78,ADATA,Pylon 550W,550,80+ Bronze,https://amazon.com/dp/B08G7SX67L?tag=pcbuilder00-20
82.11,ADATA,Pylon 650,650,80+ Bronze,https://amazon.com/dp/B08G7Q7TL2?tag=pcbuilder00-20
166,ADATA,XPG Pylon,750,80+ Bronze,https://amazon.com/dp/B08G7SGCZR?tag=pcbuilder00-20
82.02,Antec,BP350,350,80+,https://amazon.com/dp/B000H9J3ZC?tag=pcbuilder00-20
59.99,Antec,VP500 PLUS,500,80+,https://amazon.com/dp/B07JFMCBRQ?tag=pcbuilder00-20
89.52,Antec,VP550 PLUS,550,80+,https://amazon.com/dp/B07JG617FV?tag=pcbuilder00-20
200,Antec,BP550 Plus,550,80+,https://amazon.com/dp/B0017KE3DM?tag=pcbuilder00-20
87.98,Antec,0-761345-11654-1,600,80+,https://amazon.com/dp/B07NC5FGWB?tag=pcbuilder00-20
66.99,Antec,VP650 PLUS,650,80+,https://amazon.com/dp/B07JFM6PRK?tag=pcbuilder00-20
96.76,Antec,0-761345-11657-2,700,80+,https://amazon.com/dp/B07KYR9F24?tag=pcbuilder00-20
249.99,Antec,HCG-400,400,80+ Bronze,https://amazon.com/dp/B0047YITWG?tag=pcbuilder00-20
108.11,Antec,EA-550 GREEN,500,80+ Bronze,https://amazon.com/dp/B002VLYKDO?tag=pcbuilder00-20
84.5,Antec,NE550M,550,80+ Bronze,https://amazon.com/dp/B071DS7659?tag=pcbuilder00-20
98.99,Antec,NE650M,650,80+ Bronze,https://amazon.com/dp/B0716GK7Z6?tag=pcbuilder00-20
185.99,Antec,HCG-750,750,80+ Bronze,https://amazon.com/dp/B0046L1PC6?tag=pcbuilder00-20
69.99,Antec,NeoECO Gold ZEN,500,80+ Gold,https://amazon.com/dp/B0817DXRPX?tag=pcbuilder00-20
93.99,Antec,NeoECO Gold ZEN,600,80+ Gold,https://amazon.com/dp/B07XDHXTB3?tag=pcbuilder00-20
149.99,Antec,Earthwatts Gold Pro,650,80+ Gold,https://amazon.com/dp/B077G9V84S?tag=pcbuilder00-20
89.99,Antec,NeoECO Gold ZEN,700,80+ Gold,https://amazon.com/dp/B07XDHHTX8?tag=pcbuilder00-20
157.11,Antec,HCG750 Gold,750,80+ Gold,https://amazon.com/dp/B0009P7J0K?tag=pcbuilder00-20
164.99,Antec,Earthwatts Gold Pro,750,80+ Gold,https://amazon.com/dp/B077GFQVR4?tag=pcbuilder00-20
161.99,Antec,HCG850 Extreme,850,80+ Gold,https://amazon.com/dp/B07G7GPPCZ?tag=pcbuilder00-20
164.81,Antec,NE1000G M ATX3.0,1000,80+ Gold,https://amazon.com/dp/B0CD3RFL9Z?tag=pcbuilder00-20
254.72,Antec,0-761345-11774-6,1000,80+ Gold,https://amazon.com/dp/B09HCVR1G5?tag=pcbuilder00-20
200.23,Antec,NE1300G M ATX3.0,1300,80+ Gold,https://amazon.com/dp/B00BO1MADE?tag=pcbuilder00-20
229.02,Antec,SP1000,1000,80+ Platinum,https://amazon.com/dp/B0895DBGH9?tag=pcbuilder00-20
284.99,Antec,SP1300,1300,80+ Platinum,https://amazon.com/dp/B0895BNTKK?tag=pcbuilder00-20
240,Antec,ST1000,1000,80+ Titanium,https://amazon.com/dp/B0895CR5X8?tag=pcbuilder00-20
146.27,Antec,0-761345-11758-6,750,,https://amazon.com/dp/B0BS44MP6N?tag=pcbuilder00-20
31.99,Apevia,CAPTAIN550,550,80+,https://amazon.com/dp/B089PZCB7X?tag=pcbuilder00-20
94.84,Apevia,ATX-JP1000W,1000,80+ Bronze,https://amazon.com/dp/B01IE0C8WU?tag=pcbuilder00-20
