Price,Brand,Model,Ram size,Quantity,Ram type,Ram speed,CAS latency,Link
8.99,Kingston,KCP424NS6/4,4,1,DDR4,2400,17,https://amazon.com/dp/B076Q3T1LJ?tag=pcbuilder00-20
9.25,Mushkin,991643,2,1,DDR3,1066,7,https://amazon.com/dp/B003TSTDOE?tag=pcbuilder00-20
9.99,Kingston,KVR13N9S6/2,2,1,DDR3,1333,9,https://amazon.com/dp/B00HV6V56O?tag=pcbuilder00-20
10,Crucial,CT25664BA160B,2,1,DDR3,1600,11,https://amazon.com/dp/B006YG88QC?tag=pcbuilder00-20
10.5,Kingston,ValueRAM,1,1,DDR3,1333,9,https://amazon.com/dp/B000ZLVG84?tag=pcbuilder00-20
11.06,Patriot Memory,PSD34G13332,4,1,DDR3,1333,9,https://amazon.com/dp/B003GSLDJ0?tag=pcbuilder00-20
11.23,SAMSUNG,M471B5273DH0-CH9,4,1,DDR3,1333,9,https://amazon.com/dp/B0051SQYBU?tag=pcbuilder00-20
11.28,SAMSUNG,M471B5273DH0-CK0,4,1,DDR3,1600,11,https://amazon.com/dp/B009AEYBYI?tag=pcbuilder00-20
12,Crucial,CT51264BA160B,4,1,DDR3,1600,11,https://amazon.com/dp/B006YG89Q6?tag=pcbuilder00-20
13.98,SAMSUNG,M393B5170FH0-CH9,4,1,DDR3,1333,9,https://amazon.com/dp/B00DUGDL1G?tag=pcbuilder00-20
13.99,SAMSUNG,M378B5173DB0-CK0,4,1,DDR3,1600,11,https://amazon.com/dp/B00HNP1OGY?tag=pcbuilder00-20
13.99,Patriot Memory,Signature,4,1,DDR3,1600,11,https://amazon.com/dp/B00AASUPHK?tag=pcbuilder00-20
15.79,PNY,MN8GSD42666,8,1,DDR4,2666,19,https://amazon.com/dp/B07YNGGV8G?tag=pcbuilder00-20
16,Crucial,CT4G4DFS8213,4,1,DDR4,2133,15,https://amazon.com/dp/B00MMLUYPQ?tag=pcbuilder00-20
16.49,Patriot Memory,PSD48G266681,8,1,DDR4,2666,19,https://amazon.com/dp/B07CVDYH5Q?tag=pcbuilder00-20
17,Kingston,KVR16N11H/4,4,1,DDR3,1600,11,https://amazon.com/dp/B009A0K4WA?tag=pcbuilder00-20
17,Crucial,CT4G3S1339M,4,1,DDR3,1333,9,https://amazon.com/dp/B008LTBKKQ?tag=pcbuilder00-20
17.9,Crucial,Single,4,1,DDR4,2400,17,https://amazon.com/dp/B019FRDFU0?tag=pcbuilder00-20
17.94,Kingston,KVR1333D3S8N9/2G,2,1,DDR3,1333,9,https://amazon.com/dp/B004QXT98Q?tag=pcbuilder00-20
17.99,Crucial,CT8G4DFRA32A,8,1,DDR4,3200,22,https://amazon.com/dp/B08C4VHQV2?tag=pcbuilder00-20
17.99,Patriot Memory,PSD48G320081,8,1,DDR4,3200,22,https://amazon.com/dp/B0887VLQPB?tag=pcbuilder00-20
18.25,Mushkin,Essentials,4,2,DDR3,1333,9,https://amazon.com/dp/B0028887DE?tag=pcbuilder00-20
18.25,Mushkin,Essentials,4,2,DDR3,1333,9,https://amazon.com/dp/B004G7XQY0?tag=pcbuilder00-20
